priority,barcode,product,odoo_category,shopify_state,days_since_first_stocked,in_store_rev_30d_EGP,in_store_gp_30d_EGP,units_30d,stock_on_hand,stock_at_cost_EGP,wave
23,1060154148099,H15102-Stainless Steel Water Bottle,School,ACTIVE_UNPUBLISHED,109,24090,8482,22,1,575,"Wave 1 — in stock, new arrival"
24,8412497317813,31781 ستور علبة سلاطة  مربعة  بلاستيك  1810 مللي  STITCH,Various,ACTIVE_UNPUBLISHED,20,28229,8359,32,2,1025,"Wave 1 — in stock, new arrival"
25,4002125506099,2681 لانش بوكس ستانلس Truck لبني*ازرق مقسم 750ML,School,ACTIVE_UNPUBLISHED,50,23597,8068,30,1,421,"Wave 1 — in stock, new arrival"
26,9325448243835,SMASH 07961 علبه حفظ طعام 1.8 لتر استالس ازرق,School,ACTIVE_UNPUBLISHED,26,30712,8003,24,1,789,"Wave 1 — in stock, new arrival"
27,1052885786099,16/18 Trolley - Navy,School,ACTIVE_UNPUBLISHED,45,50149,7990,60,8,4800,"Wave 1 — in stock, new arrival"
28,5902533929252,29252 I-GROW 2 PROi-Size black,Baby Essentials (Consignment),NOT_IN_SHOPIFY,83,45000,7974,3,2,21000,"Wave 1 — in stock, new arrival"
29,1068989290099,133-P-R Backpack 17 SMIGGLE  Purple,School,ACTIVE_UNPUBLISHED,13,35234,7707,16,1,1450,"Wave 1 — in stock, new arrival"
30,4002125504099,2681 لانش بوكس ستانلس Dinosaur Space كحلي*اورانج مقسم 750ML,School,ACTIVE_UNPUBLISHED,50,21597,7577,27,1,421,"Wave 1 — in stock, new arrival"
31,1068989280099,123-FOOTBALL Trolley Backpack TBG SMIGGLE  Black * Gold,School,NOT_IN_SHOPIFY,13,39132,7377,11,4,9800,"Wave 1 — in stock, new arrival"
32,9325448243842,07962 SMASH علبه حفظ طعام 1.8 لتر استالس لبنى,School,ACTIVE_UNPUBLISHED,26,29041,7327,23,1,789,"Wave 1 — in stock, new arrival"
33,9325448243828,07960 SMASH علبه حفظ طعام 1.8 لتر موف استانلس,School,ACTIVE_UNPUBLISHED,26,26985,7101,21,4,3156,"Wave 1 — in stock, new arrival"
34,5056080623887,عربة طاول فوزتركي - Raven,Baby Essentials,NOT_IN_SHOPIFY,76,26455,6962,1,3,48733,"Wave 1 — in stock, new arrival"
35,1063674895099, 07 Backpack + Pencil Case + Lunch Bag 16 Inch,School,ACTIVE_UNPUBLISHED,45,26746,6961,15,1,1100,"Wave 1 — in stock, new arrival"
36,1066671722099,468653 Backpack Football Design 17 Inch,School,ACTIVE_UNPUBLISHED,5,30997,6890,14,8,11600,"Wave 1 — in stock, new arrival"
37,6222026217512,"PB-7002 بى ريدى  شنطة    ظهر  16"" 3 سوستة  P-T BOY",School,ACTIVE_UNPUBLISHED,20,22728,6829,10,2,2622,"Wave 1 — in stock, new arrival"
38,1066295826099,GB5460TB Backpack + lunch bag + pencil case 17'',School,ACTIVE_UNPUBLISHED,55,101400,26684,26,0,0,"Wave 3 — needs reorder, new range"
39,1067850334099,[10678-6530] Kidilo Baby Stroller 6530 - Black,Baby Essentials,NOT_IN_SHOPIFY,371,32350,8978,4,1,4850,"Wave 2 — in stock, existing range"
40,1066295825099,GB5458TB Backpack + lunch bag + pencil case 18'',School,ACTIVE_UNPUBLISHED,55,99875,26283,25,0,0,"Wave 3 — needs reorder, new range"
41,6223001580256,[6223001580256] Afridi AA Pen Batteries Card 4pcs,Toys,NOT_IN_SHOPIFY,751,25766,8773,247,88,4927,"Wave 2 — in stock, existing range"
42,1063674906099,24-006 Trolley bag + pencil case,School,NOT_IN_SHOPIFY,45,25480,6251,7,7,16100,"Wave 1 — in stock, new arrival"
43,1052898263099,T995 -16-inch Backpack - Aqua - Stitch,School,ACTIVE_UNPUBLISHED,34,38950,6237,21,2,2660,"Wave 1 — in stock, new arrival"
44,1068575927099, K7 High chair Umbrella,Baby Essentials,NOT_IN_SHOPIFY,361,29070,8147,6,4,11053,"Wave 2 — in stock, existing range"
45,6222026217895,"MI-9010 بى ريدى لانش باج  طويل+ جراب زمزمية 14""   MINE CRAFT",School,ACTIVE_UNPUBLISHED,20,19485,5982,15,3,2222,"Wave 1 — in stock, new arrival"
46,1063674916099,24-009 Trolley bag + pencil case,School,NOT_IN_SHOPIFY,45,25116,5932,7,5,11500,"Wave 1 — in stock, new arrival"
47,1066295828099,GB5483TB Backpack + lunch bag + pencil case 17'',School,NOT_IN_SHOPIFY,55,89700,23605,23,0,0,"Wave 3 — needs reorder, new range"
48,1066295827099,GB5481TB Backpack + lunch bag + pencil case 17'',School,ACTIVE_UNPUBLISHED,55,85800,22579,22,0,0,"Wave 3 — needs reorder, new range"
49,6223003243784,tank bottle stainless steel  cold 650ml orange,Various,ACTIVE_UNPUBLISHED,433,35264,7543,47,29,14432,"Wave 2 — in stock, existing range"
50,2075354718099,5001-Backpack 18inch + waterproof Lunch Bag +Pencil Case,School (Consignment),ACTIVE_UNPUBLISHED,44,32700,5584,11,2,4200,"Wave 1 — in stock, new arrival"
51,4000185679099,494 ميدالية مائية,Various,NOT_IN_SHOPIFY,28,10246,5568,90,126,4788,"Wave 1 — in stock, new arrival"
52,1068575823099,129 كرسى طعام امبريلا Mastela-17Pro رمادى ,Baby Essentials,NOT_IN_SHOPIFY,39,17775,5461,3,2,7700,"Wave 1 — in stock, new arrival"
53,1053158481099,41685-Insulated Food Container 1.25L - Fuchsia,Various,ACTIVE_UNPUBLISHED,751,40819,7280,68,7,2937,"Wave 2 — in stock, existing range"
54,1066295840099,"GB5447TB Backpack + lunch bag + pencil case 16""",School,ACTIVE_UNPUBLISHED,55,81600,21474,24,0,0,"Wave 3 — needs reorder, new range"
55,1066295838099,GB5457TB Backpack + lunch bag + pencil case 18'',School,ACTIVE_UNPUBLISHED,55,79900,21026,20,0,0,"Wave 3 — needs reorder, new range"
56,1063674921099,A11 Trolley bag + pencil case+ Lunch Bag,School,ACTIVE_UNPUBLISHED,45,21942,5247,7,1,2000,"Wave 1 — in stock, new arrival"
57,1066247422099,GB5446TB SCHOOL BAG,School,ACTIVE_UNPUBLISHED,47,79200,20842,22,0,0,"Wave 3 — needs reorder, new range"
58,1066295830099,GB5482TB Backpack + lunch bag + pencil case 17'',School,ACTIVE_UNPUBLISHED,55,79347,20787,20,0,0,"Wave 3 — needs reorder, new range"
59,1068575821099,129 كرسى طعام امبريلا Mastela-17Pro اسود ,Baby Essentials,NOT_IN_SHOPIFY,39,17775,5106,3,6,21327,"Wave 1 — in stock, new arrival"
60,2075354721099,5004-Backpack 18inch + waterproof Lunch Bag +Pencil Case,School (Consignment),ACTIVE_UNPUBLISHED,44,29700,5053,10,3,6300,"Wave 1 — in stock, new arrival"
61,1052898366099,401 Lunch Bag + Pencil Case - Pink - P-R,School,NOT_IN_SHOPIFY,34,29353,5048,30,39,26910,"Wave 1 — in stock, new arrival"
62,0842591059841,0890267 زمزمية مياة فلامنجو FLAMINGO رقم SBV44 460ML,School (Consignment),ACTIVE_UNPUBLISHED,5,17987,4978,15,8,5760,"Wave 1 — in stock, new arrival"
63,8412497119233,"A-147 سميجل  شنطة  ظهر  16"" وش قطة اسود الوان",School,ACTIVE_UNPUBLISHED,20,17099,4969,8,1,1254,"Wave 1 — in stock, new arrival"
64,1066295839099,"GB5520TB Backpack + lunch bag + pencil case 16""",School,ACTIVE_UNPUBLISHED,55,75570,19684,23,0,0,"Wave 3 — needs reorder, new range"
65,1052885726099,T997 18.5-inch Backpack - Navy - Sonic,School,ACTIVE_UNPUBLISHED,45,29934,4838,14,1,1530,"Wave 1 — in stock, new arrival"
66,1052885732099,T997 18.5-inch Backpack - Black - Astronaut,School,ACTIVE_UNPUBLISHED,45,28186,4835,13,2,3060,"Wave 1 — in stock, new arrival"
67,5056080619439,Playard Allura 120 Shale,Various,NOT_IN_SHOPIFY,286,24750,6513,3,5,25329,"Wave 2 — in stock, existing range"
68,1053114748099,00524-زجاجة ستانلس ألوان بشاليموه 700 مل,Various,ACTIVE_UNPUBLISHED,51,26160,4791,22,1,825,"Wave 1 — in stock, new arrival"
69,8364217982889,عربية شحن 4*4 403/2026,Toys (Consignment),NOT_IN_SHOPIFY,32,29800,4784,2,2,21357,"Wave 1 — in stock, new arrival"
70,1068989268099,111-MINECRAFT Double Decker Lunch Bage  LB SMIGGLE Green * Black,School,ACTIVE_UNPUBLISHED,13,24902,4744,18,1,950,"Wave 1 — in stock, new arrival"
71,4002125486099,2555 A لانش بوكس 2 دور Dino اخضر*لبني+علبة صوص وشوكة وملعقه,School,ACTIVE_UNPUBLISHED,50,12806,4742,37,1,175,"Wave 1 — in stock, new arrival"
72,1052885787099,16/18 Trolley - Pink,School,ACTIVE_UNPUBLISHED,45,28627,4712,34,2,1200,"Wave 1 — in stock, new arrival"
73,6223003242480,tank bottle stainless steel  cold 650ml navy blue,School,ACTIVE_UNPUBLISHED,433,28122,6255,37,54,26874,"Wave 2 — in stock, existing range"
74,1066648653099,263135 Trolley Bag Football Design 18 Inch,School,ACTIVE_UNPUBLISHED,49,21328,4609,6,1,2350,"Wave 1 — in stock, new arrival"
75,5902533925155,25155 JOY² travel cot with accessories,Baby Essentials (Consignment),NOT_IN_SHOPIFY,83,26000,4607,2,5,45500,"Wave 1 — in stock, new arrival"
76,151204,Girls Sunglasses,Clothing (Consignment),NOT_IN_SHOPIFY,752,21468,6217,145,126,10962,"Wave 2 — in stock, existing range"
77,1052898265099,T995 -16-inch Backpack - Purple - M-M,School,ACTIVE_UNPUBLISHED,34,27930,4550,15,2,2660,"Wave 1 — in stock, new arrival"
78,1066671730099,468658 Backpack Football Design 17 Inch,School,ACTIVE_UNPUBLISHED,5,19847,4360,9,3,4350,"Wave 1 — in stock, new arrival"
79,1066247420099,GB5697T SCHOOL BAG,School,ACTIVE_UNPUBLISHED,47,64500,16974,15,0,0,"Wave 3 — needs reorder, new range"
80,9325448246829,35456  SMASH علبه حفظ طعام غطاء ازرق استانلس3 خانه 1.3 لتر,School,NOT_IN_SHOPIFY,26,64082,16533,36,0,0,"Wave 3 — needs reorder, new range"
81,1052554714012,100101199 Swim Robe,Clothing,NOT_IN_SHOPIFY,91,15392,4125,15,25,15628,"Wave 1 — in stock, new arrival"
82,796554841786,Monzafeed double digital breast,Baby Essentials,ACTIVE_UNPUBLISHED,751,22000,5548,4,1,3438,"Wave 2 — in stock, existing range"
83,1052885746099,T997 18.5-inch Backpack - Purple - Mermaid,School,NOT_IN_SHOPIFY,45,23816,4062,11,28,42840,"Wave 1 — in stock, new arrival"
84,0842591054594,0890261 زمزمية مياة أرنب B-Y رقم SBV44 460ML,School (Consignment),ACTIVE_UNPUBLISHED,5,14400,3992,12,12,8640,"Wave 1 — in stock, new arrival"
85,1064514992104,Grand Plus Bike - Red,Toys,NOT_IN_SHOPIFY,557,13825,5357,7,4,3869,"Wave 2 — in stock, existing range"
86,0842591056116,0890268 زمزمية مياة زرافة GIRAFFE رقم SBV44 460ML,School (Consignment),ACTIVE_UNPUBLISHED,5,14280,3886,12,12,8640,"Wave 1 — in stock, new arrival"
87,1052898269099,T995 -16-inch Backpack - Black - Mecha Warrior,School,ACTIVE_UNPUBLISHED,34,22610,3873,12,1,1330,"Wave 1 — in stock, new arrival"
88,1066671723099,557874 Backpack Football Design 17 Inch,School,ACTIVE_UNPUBLISHED,5,17617,3854,8,4,5800,"Wave 1 — in stock, new arrival"
89,1052885722099,T996 17-inch Backpack - Green/Black - Hulk's hand,School,NOT_IN_SHOPIFY,45,22290,3823,11,8,11440,"Wave 1 — in stock, new arrival"
90,4000182651099,007 علبة استك الوان,Clothing,NOT_IN_SHOPIFY,33,6856,3778,86,22,572,"Wave 1 — in stock, new arrival"
91,1053114747099,00524-زجاجة ستانلس ألوان بشاليموه 700 مل,Various,ACTIVE_UNPUBLISHED,51,21240,3777,18,1,825,"Wave 1 — in stock, new arrival"
92,5056080620107,Twin Air Stroller Pebble,Baby Essentials,NOT_IN_SHOPIFY,265,18685,4917,1,5,57366,"Wave 2 — in stock, existing range"
93,1053178386099,03965-31-BTS24 Lunch Box 1.5L - Mint,Various,NOT_IN_SHOPIFY,573,26740,4888,45,211,87065,"Wave 2 — in stock, existing range"
94,1068989278099,121-Gaming Design Double Decker Lunch Bag  LB SMIGGLE black,School,ACTIVE_UNPUBLISHED,13,18187,3603,13,1,950,"Wave 1 — in stock, new arrival"
95,1066247444099,GB5633 SCHOOL BAG,School,ACTIVE_UNPUBLISHED,47,54400,14316,17,0,0,"Wave 3 — needs reorder, new range"
96,8364217982812,535 بوسيت مون بيبى,Toys (Consignment),NOT_IN_SHOPIFY,102,24451,3567,5,6,21457,"Wave 1 — in stock, new arrival"
97,6222049709209,182204-PS2409-20L Flowers & Unicorns Bag,School (Consignment),ACTIVE_UNPUBLISHED,35,21589,3546,11,1,1399,"Wave 1 — in stock, new arrival"
98,1068989271099,114-M-M Trolley Backpack TBG SMIGGLE Purple*Pink,School,ACTIVE_UNPUBLISHED,13,71577,13787,20,0,0,"Wave 3 — needs reorder, new range"
99,1052898361099,401 Lunch Bag + Pencil Case - Navy - S-P,School,ACTIVE_UNPUBLISHED,34,20390,3396,21,1,690,"Wave 1 — in stock, new arrival"
100,0050116661111,Transformers & Cupcake,Toys,ACTIVE_UNPUBLISHED,751,13991,4554,352,1228,26930,"Wave 2 — in stock, existing range"
101,8412497083718,"624754 سميجل  شنطة  ظهر  16"" طباعة تطريز  STITCH",School,ACTIVE_UNPUBLISHED,20,41292,13426,20,0,0,"Wave 3 — needs reorder, new range"
102,8364217982672,[20036-A99615/2025] Mercedes Jumbo Electric Ride-On Car A99615/2025,Toys (Consignment),NOT_IN_SHOPIFY,322,29323,4508,2,2,21213,"Wave 2 — in stock, existing range"
103,0842591054549,0890275 زمزمية مياة يونى كورن UNICORN رقم SBV44 460ML,School (Consignment),ACTIVE_UNPUBLISHED,5,12000,3326,10,14,10080,"Wave 1 — in stock, new arrival"
104,4001068160099,5356 بوتي سلم,Baby Essentials,ACTIVE_UNPUBLISHED,25,9371,3270,11,1,450,"Wave 1 — in stock, new arrival"
105,1066247425099,GB5698 SCHOOL BAG,School,ACTIVE_UNPUBLISHED,47,49000,12895,14,0,0,"Wave 3 — needs reorder, new range"
106,1066247440099,GB5604 SCHOOL BAG,School,ACTIVE_UNPUBLISHED,47,49000,12895,14,0,0,"Wave 3 — needs reorder, new range"
107,4000185681099,702 محفظه بناتي,Various,NOT_IN_SHOPIFY,28,6066,3221,30,78,5460,"Wave 1 — in stock, new arrival"
108,1067885251099,[1067885251099] Kidilo Baby Stroller Trolley Handle with Winter Cover & Mosquito Net K20 - Grey,Baby Essentials,NOT_IN_SHOPIFY,475,14540,4271,2,1,4242,"Wave 2 — in stock, existing range"
109,8364217982800,[20036-16/2026] ADL 16-Inch Bicycle 16/2026,Toys (Consignment),NOT_IN_SHOPIFY,179,26600,4270,7,5,13617,"Wave 2 — in stock, existing range"
110,2073085631099,5168/996 اسكوتر 4 لون بالنور,Toys (Consignment),NOT_IN_SHOPIFY,43,13800,3135,4,4,8970,"Wave 1 — in stock, new arrival"
111,8364217982879,بوسيت مون بيبي G-K9,Baby Essentials (Consignment),NOT_IN_SHOPIFY,60,19876,3131,4,5,17881,"Wave 1 — in stock, new arrival"
112,1049858647031,RZ1 LED Flash Light Sneaker with Wheels & USB Charging,Clothing,NOT_IN_SHOPIFY,60,9800,3114,5,2,2193,"Wave 1 — in stock, new arrival"
113,8412497813773,"711776 سميجل  شنطة  ظهر  16""   S-P",School,ACTIVE_UNPUBLISHED,20,38802,12382,19,0,0,"Wave 3 — needs reorder, new range"
114,1071430904099,كورة كأس العالم NEW,Toys,NOT_IN_SHOPIFY,14,9972,3093,29,21,4095,"Wave 1 — in stock, new arrival"
115,1066295832099,GB5601TB Backpack + lunch bag + pencil case 17'',School,ACTIVE_UNPUBLISHED,55,46800,12316,12,0,0,"Wave 3 — needs reorder, new range"
116,1066247424099,GB5697 SCHOOL BAG,School,ACTIVE_UNPUBLISHED,47,46800,12316,13,0,0,"Wave 3 — needs reorder, new range"
117,5056080624167,كرسى طعام ميمز ريكلاين strata acorn wood,Baby Essentials,NOT_IN_SHOPIFY,39,11605,3054,1,6,42755,"Wave 1 — in stock, new arrival"
118,1066671729099,677881 Backpack Cats Design 17 Inch,School,ACTIVE_UNPUBLISHED,5,13380,3037,6,6,8700,"Wave 1 — in stock, new arrival"
119,1066671721099,165593 Backpack Boba Tea Pastel  Design 17 Inch,School,ACTIVE_UNPUBLISHED,5,13380,3037,6,6,8700,"Wave 1 — in stock, new arrival"
120,1066648630099,624754-2 Backpack Ninja Design 17 Inch,School,ACTIVE_UNPUBLISHED,49,12692,3033,6,1,1350,"Wave 1 — in stock, new arrival"
121,4001213545099,888-26-motor12*1استاند موتوسيكل,Various,NOT_IN_SHOPIFY,47,7568,2971,76,14,676,"Wave 1 — in stock, new arrival"
122,1066648622099,717821 Backpack Logo Design 17 Inch,School,ACTIVE_UNPUBLISHED,49,10995,2895,5,1,1350,"Wave 1 — in stock, new arrival"
123,4000182664099,597 استك الوان,Clothing,NOT_IN_SHOPIFY,33,5347,2891,72,144,3600,"Wave 1 — in stock, new arrival"
124,1068512213099,36-STROLLER UMbrella x 8 pro,Various,NOT_IN_SHOPIFY,13,12690,2882,2,3,12375,"Wave 1 — in stock, new arrival"
125,4001170612099,532 بوكس شخاليل 10 ق مينت,Baby Essentials,ACTIVE_UNPUBLISHED,21,7610,2879,22,2,345,"Wave 1 — in stock, new arrival"
126,1066671728099,579821 Backpack sweet Design 17 Inch,School,ACTIVE_UNPUBLISHED,5,13157,2841,6,6,8700,"Wave 1 — in stock, new arrival"
127,1066671724099,441170 Backpack Game on Design 17 Inch,School,ACTIVE_UNPUBLISHED,5,13157,2841,6,5,7250,"Wave 1 — in stock, new arrival"
128,1066247421099,GB5701T SCHOOL BAG,School,ACTIVE_UNPUBLISHED,47,43000,11316,10,0,0,"Wave 3 — needs reorder, new range"
129,1072186952099,1042 درفت 36فولت,Toys,NOT_IN_SHOPIFY,95,10715,2820,1,2,13158,"Wave 1 — in stock, new arrival"
130,4002125497099,7728 لانش بوكس ستانلس بالملعقه Smile كشمير*بينك,School,ACTIVE_UNPUBLISHED,50,7940,2820,21,1,197,"Wave 1 — in stock, new arrival"
131,1067825859099,[10678-LB100] Kidilo LB100 Baby Twin Stroller - Grey,Baby Essentials,NOT_IN_SHOPIFY,144,12995,3799,1,1,7600,"Wave 2 — in stock, existing range"
132,1063674851099, 004 Backpack + Pencil Case + Lunch Bag 18 Inch,School,ACTIVE_UNPUBLISHED,45,45360,11190,22,0,0,"Wave 3 — needs reorder, new range"
133,4001170626099,DHK-777 بوتي سلم لبني,Baby Essentials,NOT_IN_SHOPIFY,21,6800,2779,8,4,1593,"Wave 1 — in stock, new arrival"
134,1067885956099,[1067885956099] Belccoo Baby Stroller 311 - Grey,Baby Essentials,ACTIVE_UNPUBLISHED,636,12825,3750,3,1,2500,"Wave 2 — in stock, existing range"
135,1066648629099,579822 Backpack Unicorn Design 17 Inch,School,ACTIVE_UNPUBLISHED,49,12398,2775,6,1,1350,"Wave 1 — in stock, new arrival"
136,1068594521099,stroller umbrella easy move,Baby Essentials,NOT_IN_SHOPIFY,55,10000,2771,2,3,9451,"Wave 1 — in stock, new arrival"
137,1068989286099,129-M-I Backpack 17 SMIGGLE  Pink,School,ACTIVE_UNPUBLISHED,13,50621,11054,23,0,0,"Wave 3 — needs reorder, new range"
138,1060154149099,H15102-Stainless Steel Water Bottle,School,ACTIVE_UNPUBLISHED,109,31426,10892,29,0,0,"Wave 3 — needs reorder, new range"
139,1063674853099, 004 Backpack + Pencil Case + Lunch Bag 18 Inch,School,NOT_IN_SHOPIFY,45,10500,2711,5,28,36400,"Wave 1 — in stock, new arrival"
140,105042500,MAINTENANCE,Services,NOT_IN_SHOPIFY,711,16600,14561,3,0,0,"Wave 4 — needs reorder, older range"
141,1063674907099,24-007 Trolley bag + pencil case,School,NOT_IN_SHOPIFY,45,10920,2679,3,12,27600,"Wave 1 — in stock, new arrival"
142,6224002102256,Angels Baby Changing Underpads 60*50,Baby Essentials (Consignment),NOT_IN_SHOPIFY,564,16356,3603,38,36,10179,"Wave 2 — in stock, existing range"
143,8364217982814,K809 بوسيت مون بيبى,Toys (Consignment),NOT_IN_SHOPIFY,102,16575,2661,3,7,27717,"Wave 1 — in stock, new arrival"
144,0842591058349,0890266 زمزمية مياة فيل ELEPHANT رقم SBV44 460ML,School (Consignment),NOT_IN_SHOPIFY,5,9587,2649,8,16,11520,"Wave 1 — in stock, new arrival"
145,1071895875003,DK-10 Unisex Baby 2 Pack Short-Sleeve Bodysuit - White,Clothing,NOT_IN_SHOPIFY,77,7936,2609,34,368,47104,"Wave 1 — in stock, new arrival"
146,1052885761099,T5261 20-inch Backpack - Maroon/Black,School,ACTIVE_UNPUBLISHED,45,14650,2601,5,1,2050,"Wave 1 — in stock, new arrival"
147,4001170621099,HB-606 بانيو سيليكون بالمخده رمادي,Baby Essentials,NOT_IN_SHOPIFY,21,6489,2533,6,4,2106,"Wave 1 — in stock, new arrival"
148,1066671720099,672066 Backpack Unicorn Design 17 Inch,School,ACTIVE_UNPUBLISHED,5,11150,2531,5,7,10150,"Wave 1 — in stock, new arrival"
149,1066671726099,490562 Backpack Mini on Design 17 Inch,School,ACTIVE_UNPUBLISHED,5,11150,2531,5,19,27550,"Wave 1 — in stock, new arrival"
150,8364217982884,متوسيكل شحن تربو 406/2026,Toys (Consignment),NOT_IN_SHOPIFY,32,15600,2504,2,3,16770,"Wave 1 — in stock, new arrival"
151,1053831236099,طقم عقد الوان 312,Various,NOT_IN_SHOPIFY,43,6037,2495,20,60,8400,"Wave 1 — in stock, new arrival"
152,1003980927099,188 Onesie,Clothing,ACTIVE_UNPUBLISHED,21,9240,2494,12,12,5612,"Wave 1 — in stock, new arrival"
153,4000185673099,585 خصلة شعر ضفيرة حروف,Clothing,NOT_IN_SHOPIFY,28,4568,2489,46,14,462,"Wave 1 — in stock, new arrival"
154,1043635484099,A187 Steak white,School,NOT_IN_SHOPIFY,48,4835,2477,49,1,36,"Wave 1 — in stock, new arrival"
155,1068989258099,101-SONIC Classic Backpack 17 SMIGGLE  blue,School,ACTIVE_UNPUBLISHED,13,44290,9851,20,0,0,"Wave 3 — needs reorder, new range"
156,1063674868099, 005 Backpack + Pencil Case + Lunch Bag 16 Inch,School,ACTIVE_UNPUBLISHED,45,38272,9822,19,0,0,"Wave 3 — needs reorder, new range"
157,2073812191099,DB1-3-سكوتر للأطفال بثلاثة مستويات وعجلات مضيئة وموسيقى فيراري,Toys (Consignment),DRAFT,27,10794,2452,6,1,1169,"Wave 1 — in stock, new arrival"
158,1043635486099,A257 Steak white,School,NOT_IN_SHOPIFY,48,4740,2430,48,5,180,"Wave 1 — in stock, new arrival"
159,1068989266099,"109-MINECRAFT Backpack ""17 SMIGGLE Green * Black",School,ACTIVE_UNPUBLISHED,13,44119,9701,20,0,0,"Wave 3 — needs reorder, new range"
160,4000182647099,664-8-2 بندانه اطفال عريضة,Clothing,NOT_IN_SHOPIFY,33,4383,2424,49,95,2755,"Wave 1 — in stock, new arrival"
161,1053831237099,طقم عقد قلوب 313,Various,NOT_IN_SHOPIFY,43,5710,2399,18,116,16820,"Wave 1 — in stock, new arrival"
162,6975685678414,ZC-AC-10-Kids Stickers,School,NOT_IN_SHOPIFY,109,6339,2381,161,245,4839,"Wave 1 — in stock, new arrival"
163,4000157027099,C655-استك شعر بناتي ابيض,School,NOT_IN_SHOPIFY,36,4289,2380,79,2,35,"Wave 1 — in stock, new arrival"
164,6975354492174,HY-U-Kids Stickers,School,NOT_IN_SHOPIFY,109,7213,2369,182,208,4524,"Wave 1 — in stock, new arrival"
